"city","state_id","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Alachua","FL","29.7779","-82.4832",10527,"112.3","shape",False,True,"America/New_York",3,"32615 32616",1840014020
"Marlton","NJ","39.9014","-74.9294",10491,"1227.5","shape",False,False,"America/New_York",3,"8053",1840005522
"Itasca","IL","41.9772","-88.0183",9623,"739.9","shape",False,True,"America/Chicago",3,"60143",1840011400
"Whitestown","IN","39.9706","-86.3612",9529,"262.4","shape",False,True,"America/Indiana/Indianapolis",3,"46052 46075",1840010514
"Marina del Rey","CA","33.9765","-118.4486",9355,"4211.4","shape",False,False,"America/Los_Angeles",2,"90292",1840017920
"Conshohocken","PA","40.0772","-75.3034",9104,"3500.2","shape",False,True,"America/New_York",2,"19428 19429",1840003697
"Whippany","NJ","40.8233","-74.4184",9067,"624.1","shape",False,False,"America/New_York",3,"07981 07999",1840033441
"Smithfield","VA","36.9755","-76.6152",8513,"338","shape",False,True,"America/New_York",3,"23430 23431",1840006487
"Montvale","NJ","41.0529","-74.0499",8413,"807.4","shape",False,True,"America/New_York",3,"7645",1840000906
"Oak Brook","IL","41.8373","-87.9516",8178,"395.9","shape",False,True,"America/Chicago",3,"60523 60522",1840011408
"Manhasset","NY","40.7884","-73.6943",8093,"1310.1","shape",False,False,"America/New_York",3,"11030",1840005273
"Broadview","IL","41.8583","-87.8562",7997,"1737.8","shape",False,True,"America/Chicago",3,"60155",1840010141
"Wayne","PA","40.0409","-75.3945",7425,"1349.8","shape",False,False,"America/New_York",3,"19087",1840153025
"Lackland AFB","TX","29.3866","-98.6179",7417,"676.2","shape",True,True,"America/Chicago",3,"78236",1840074237
"Ridley Park","PA","39.8785","-75.3251",7131,"2552.1","shape",False,True,"America/New_York",2,"19078",1840000708
"Plymouth Meeting","PA","40.1097","-75.2803",6744,"666.3","shape",False,False,"America/New_York",3,"19462",1840005459
"Blue Bell","PA","40.1474","-75.2687",6421,"460","shape",False,False,"America/New_York",3,"19422 19424",1840034868
"Fort Washington","PA","40.1408","-75.1926",6241,"740.5","shape",False,False,"America/New_York",3,"19034",1840005460
"Exton","PA","40.0307","-75.6303",6095,"752.6","shape",False,False,"America/New_York",3,"19341 19353",1840001421
"Northfield","IL","42.1025","-87.7791",5853,"699.6","shape",False,True,"America/Chicago",3,"60093",1840011305
"Paoli","PA","40.042","-75.4912",5838,"1118.8","shape",False,False,"America/New_York",3,"19355 19301",1840005501
"Boothwyn","PA","39.8357","-75.4454",5539,"1714.3","shape",False,False,"America/New_York",3,"19061",1840005548
"Berwyn","PA","40.0396","-75.4439",3620,"751.1","shape",False,False,"America/New_York",3,"19333 19301 19312 19398",1840024351
"Malvern","PA","40.0329","-75.5146",3368,"1031.7","shape",False,True,"America/New_York",3,"19355",1840001429
"Haworth","NJ","40.9622","-73.9976",3341,"665.9","shape",False,True,"America/New_York",3,"7641",1840003559
"Marin City","CA","37.871","-122.5137",3094,"2225.6","shape",False,False,"America/Los_Angeles",2,"94965",1840026767
"Lake Success","NY","40.768","-73.7089",2856,"595.9","shape",False,True,"America/New_York",3,"11042 11020",1840005300
"Essex Fells","NJ","40.8271","-74.2798",2270,"622.3","shape",False,True,"America/New_York",3,"7021",1840005355
"West Conshohocken","PA","40.0702","-75.3188",1407,"643.3","shape",False,True,"America/New_York",3,"19428",1840001380
"Westlake","TX","32.9809","-97.2041",1374,"77.1","shape",False,True,"America/Chicago",3,"76248 76262",1840022994
"Burlingame","KS","38.7517","-95.8351",872,"380.9","shape",False,True,"America/Chicago",3,"66413",1840007458
"Yorktown","VA","37.2352","-76.5146",256,"156.6","shape",False,False,"America/New_York",3,"23690",1840006444
