"city","state_id","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Denver","CO","39.762","-104.8758",2687458,"1782.8","shape",False,True,"America/Denver",1,"80264 80266 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80210 80212 80216 80221 80220 80223 80222 80224 80227 80219 80211 80209 80207 80206 80205 80204 80202 80203 80208 80217 80243 80248 80250 80256 80257 80259 80261 80265 80271 80273 80274 80281 80291 80299",1840018789
"Austin","TX","30.3005","-97.7522",1905945,"1137.8","shape",False,True,"America/Chicago",1,"78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799",1840019590
"San Jose","CA","37.3012","-121.848",1771413,"2199","shape",False,True,"America/Los_Angeles",1,"95119 95118 95128 95124 95125 95122 95008 95002 95117 95116 95111 95110 95113 95112 95126 95127 95120 95123 95148 95133 95132 95131 95130 95136 95134 95139 95138 95037 95013 95129 95121 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196",1840021570
"Indianapolis","IN","39.7771","-86.1458",1729849,"939.8","shape",False,True,"America/Indiana/Indianapolis",1,"46234 46237 46218 46219 46217 46214 46260 46268 46226 46225 46183 46231 46235 46236 46239 46254 46250 46208 46201 46203 46202 46205 46204 46206 46256 46259 46227 46224 46222 46221 46220 46229 46228 46113 46278 46241 46240 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298",1840030084
"Columbus","OH","39.9862","-82.9855",1572546,"1573.4","shape",False,True,"America/New_York",1,"43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291",1840003760
"Bronx","NY","40.8501","-73.8662",1472654,"13356.3","point",False,True,"America/New_York",1,"10452 10475 10474 10471 10470 10473 10472 10453 10451 10457 10456 10455 10454 10459 10458 11370 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469",1840033999
"Charlotte","NC","35.2083","-80.8303",1427444,"1077.1","shape",False,True,"America/New_York",1,"28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28223 28227 28226 28278 28270 28273 28274 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299",1840014557
"Jacksonville","FL","30.3322","-81.6749",1288298,"484.5","shape",False,True,"America/New_York",1,"32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32214 32217 32216 32211 32210 32212 32246 32244 32233 32234 32202 32250 32254 32257 32256 32208 32209 32206 32207 32204 32205 32203 32258 32277 32099 32201 32229 32231 32232 32235 32236 32238 32239 32241 32245 32247 32255",1840015031
"Salt Lake City","UT","40.7776","-111.9311",1173879,"693.4","shape",False,True,"America/Denver",1,"84116 84115 84114 84113 84112 84111 84128 84150 84180 84108 84101 84102 84103 84104 84105 84106 84138 84110 84122 84132 84133 84134 84139 84143 84145 84147 84148 84151 84152 84158 84199",1840021383
"Fort Worth","TX","32.7817","-97.3474",908469,"1003.4","shape",False,True,"America/Chicago",2,"76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76053 76052 76123 76120 76244 76008 76179 76177 76036 76140 76262 76006 76118 76119 76116 76117 76114 76115 76112 76110 76111 76129 76127 76126 76101 76113 76121 76122 76124 76130 76147 76150 76161 76162 76163 76166 76190 76191 76193 76195 76196 76197 76198 76199",1840020696
"Mesa","AZ","33.4015","-111.7178",497752,"1364.4","shape",False,True,"America/Phoenix",2,"85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277",1840020566
"Long Beach","CA","33.7977","-118.167",466565,"3555.1","shape",False,True,"America/Los_Angeles",2,"90822 90804 90805 90806 90807 90802 90803 90808 90831 90814 90813 90810 90815 90840 90801 90809 90832 90833 90842 90844 90846 90847 90848 90853",1840020490
"Oakland","CA","37.7904","-122.2166",437548,"3018.7","shape",False,True,"America/Los_Angeles",2,"94621 94705 94611 94610 94613 94612 94619 94618 94606 94607 94602 94603 94601 94609 94720 94605 94608 94604 94614 94615 94617 94620 94623 94624 94649 94659 94660 94661 94666",1840020296
"Arlington","TX","32.6998","-97.125",392304,"1580.4","shape",False,True,"America/Chicago",2,"76011 76005 76001 76002 76006 76018 76013 76012 76010 76017 76016 76015 76014 76003 76004 76007 76019 76094 76096",1840019422
"Aurora","CO","39.7083","-104.7237",383496,"911.2","shape",False,True,"America/Denver",2,"80247 80137 80045 80018 80019 80016 80014 80015 80012 80013 80010 80017 80011 80040 80041 80042 80044 80046 80047",1840018794
"Newark","NJ","40.7245","-74.1725",306247,"4897.5","shape",False,True,"America/New_York",2,"07103 07102 07105 07104 07107 07106 07108 07112 07114 07101 07175 07188 07191 07192 07193 07195 07198 07199",1840002791
"Jersey City","NJ","40.7184","-74.0686",287146,"7517.5","shape",False,True,"America/New_York",2,"07310 07311 07302 07307 07306 07305 07304 07097 07303 07308 07395 07399",1840003600
"Plano","TX","33.0502","-96.7486",282181,"1519.8","shape",False,True,"America/Chicago",2,"75093 75023 75025 75024 75074 75075 75026 75086",1840020662
"Chandler","AZ","33.2825","-111.8514",272439,"1605.9","shape",False,True,"America/Phoenix",2,"85248 85249 85226 85224 85225 85286 85246",1840019309
"Irving","TX","32.8583","-96.9702",254184,"1465.2","shape",False,True,"America/Chicago",2,"75063 75060 75038 75039 75062 75061 75014 75015 75016 75017 75059 75326 75368",1840019438
"Chesapeake","VA","36.6778","-76.3023",247172,"282","shape",False,True,"America/New_York",2,"23325 23324 23323 23322 23321 23320 23326 23327 23328",1840003874
"Glendale","AZ","33.5791","-112.2311",245685,"1437.1","shape",False,True,"America/Phoenix",2,"85301 85303 85302 85306 85309 85308 85355 85305 85304 85307 85310 85311 85312 85318",1840020563
"Scottsdale","AZ","33.6872","-111.8651",238685,"500.8","shape",False,True,"America/Phoenix",2,"85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271",1840021940
"Norfolk","VA","36.8945","-76.259",238556,"1728.9","shape",False,True,"America/New_York",2,"23509 23508 23507 23504 23503 23502 23505 23518 23510 23511 23513 23517 23551 23523 23501 23506 23514 23515 23519 23529 23541",1840003869
"Fremont","CA","37.5265","-121.9843",231502,"1144.4","shape",False,True,"America/Los_Angeles",2,"94560 94536 94538 94539 94555 94537",1840020292
"Gainesville","FL","29.6804","-82.3459",220929,"838.1","shape",False,True,"America/New_York",2,"32608 32609 32607 32610 32612 32653 32603 32601 32605 32604 32611 32614 32627 32635",1840014022
"Glendale","CA","34.1819","-118.2468",196512,"2489.4","shape",False,True,"America/Los_Angeles",2,"91210 91214 91201 91205 91208 91203 91202 91204 91207 91206 91046 91020 91209 91221 91222 91225 91226",1840020483
"Tempe","AZ","33.3881","-111.9319",178862,"1727.6","shape",False,True,"America/Phoenix",2,"85281 85282 85283 85284 85280 85285 85287 85288",1840021942
"Lakewood","CO","39.6977","-105.1172",155608,"1382.5","shape",False,True,"America/Denver",2,"80232 80235 80214 80215 80227 80226 80228 80201 80225",1840020198
"Sunnyvale","CA","37.3836","-122.0255",155550,"2722.5","shape",False,True,"America/Los_Angeles",2,"94085 94086 94087 94089 94088",1840021573
