JobID,Job_Title,Salary_estimate_range,Min_Salary_Estimate,Max_Salary_Estimate,Location
10241,Data Analyst,$93K-$159K ,93000,159000,"San Francisco, CA"
10242,Data Analyst,$57K-$67K ,57000,67000,"Englewood, CO"
10243,Data Analyst,$37K-$44K ,37000,44000,"Ridley Park, PA"
10244,Data Analyst,$50K-$86K ,50000,86000,"Fort Worth, TX"
10245,Data Analyst,$42K-$66K ,42000,66000,"Woodland Hills, CA"
10246,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10247,Data Analyst,$49K-$91K ,49000,91000,"Englewood, CO"
10248,Data Analyst,$50K-$86K ,50000,86000,"Fort Worth, TX"
10249,Data Analyst,$57K-$100K ,57000,100000,"Littleton, CO"
10250,Lead Data Analyst,$64K-$113K ,64000,113000,"Philadelphia, PA"
10251,Data Analyst,$93K-$159K ,93000,159000,"South San Francisco, CA"
10252,Data Analyst,$51K-$93K ,51000,93000,"Sunnyvale, CA"
10253,Sr. Data Analyst,$69K-$127K ,69000,127000,"Sunnyvale, CA"
10254,Business Data Analyst,$42K-$76K ,42000,76000,"Chicago, IL"
10255,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10256,Sr. Data Analyst,$78K-$104K ,78000,104000,"Centennial, CO"
10257,Data Analyst,$69K-$127K ,69000,127000,"Stanford, CA"
10258,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10259,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10260,Sr. Data Scientist,$68K-$87K ,68000,87000,"Downers Grove, IL"
10261,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10262,Business Data Analyst,$47K-$74K ,47000,74000,"San Francisco, CA"
10263,Sr. Data Analyst,$37K-$44K ,37000,44000,"Mount Laurel, NJ"
10264,Data Analyst,$40K-$74K ,40000,74000,"Charlotte, NC"
10265,Data Analyst,$43K-$94K ,43000,94000,"Tempe, AZ"
10266,Data Analyst,$45K-$78K ,45000,78000,"Tempe, AZ"
10267,Data Analyst,$46K-$102K ,46000,102000,"Tempe, AZ"
10268,Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10269,Business Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10270,Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10271,Sr. Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10272,Data Analyst,$46K-$87K ,46000,87000,"New York, NY"
10273,Data Analyst,$93K-$159K ,93000,159000,"San Francisco, CA"
10274,Data Analyst II,$24K-$48K ,24000,48000,"Dallas, TX"
10275,Data Analyst II,$29K-$38K ,29000,38000,"Houston, TX"
10276,Sr. Data Analyst,$48K-$96K ,48000,96000,"Florham Park, NJ"
10277,Data Analyst,$98K-$114K ,98000,114000,"Florham Park, NJ"
10278,Sr. Data Analyst,$98K-$114K ,98000,114000,"Florham Park, NJ"
10279,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10280,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10281,Sr. Data Analyst,$27K-$52K ,27000,52000,"New York, NY"
10282,Sr. Data Scientist,$48K-$96K ,48000,96000,"New York, NY"
10283,Data Analyst,$73K-$127K ,73000,127000,"New York, NY"
10284,Data Analyst,$50K-$93K ,50000,93000,"Wilmington, DE"
10285,Data Analyst,$27K-$52K ,27000,52000,"Brooklyn, NY"
10286,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10287,Sr. Data Analyst,$46K-$86K ,46000,86000,"Columbus, OH"
10288,Data Analyst,$44K-$82K ,44000,82000,"Lewisville, TX"
10289,Sr. Data Analyst,$41K-$78K ,41000,78000,"New York, NY"
10290,Business Data Analyst,$42K-$74K ,42000,74000,"New York, NY"
10291,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10292,Data Analyst,$42K-$74K ,42000,74000,"Newark, NJ"
10293,Data Analyst,$77K-$132K ,77000,132000,"Newark, NJ"
10294,Data Analyst,$38K-$68K ,38000,68000,"Wilmington, DE"
10295,Data Analyst,$30K-$53K ,30000,53000,"Irving, TX"
10296,Sr. Data Analyst,$41K-$86K ,41000,86000,"Irving, TX"
10297,Lead Data Analyst,$48K-$88K ,48000,88000,"Irving, TX"
10298,Sr. Business Analyst,$27K-$52K ,27000,52000,"Jersey City, NJ"
10299,Business Data Analyst,$41K-$78K ,41000,78000,"New York, NY"
10300,Data Analyst,$51K-$88K ,51000,88000,"New York, NY"
10301,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10302,Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10303,Sr. Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10304,Data Analyst,$60K-$110K ,60000,110000,"Weehawken, NJ"
10305,Data Science Analyst,$24K-$48K ,24000,48000,"Dallas, TX"
10306,Data Science Analyst,$24K-$48K ,24000,48000,"Dallas, TX"
10307,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10308,Data Analyst,$26K-$47K ,26000,47000,"Salt Lake City, UT"
10309,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10310,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10311,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10312,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
